,tweet
71,"b'RT @DeyanaraBrianda: Donde no eres feliz debes marcharte, no importa el tiempo que perdiste, ni los planes, aunque se te rompa el coraz\xc3\xb3n.\xe2\x80\xa6'"
72,b'RT @gabymendoza21: Babies Bull Terrier a la venta! \nNecesitan un hogar que le den mucho amor y cuidado \xf0\x9f\x92\x95\xf0\x9f\x90\xb6\xf0\x9f\x92\x9c \nMe ayudan con un RT\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\xa4\xa9 https://\xe2\x80\xa6'
73,b'Toy contenta porque una amiga de facultad q todavia no conozco me dijo feliz dia. No merezco tanto amor de alguien\xe2\x80\xa6 https://t.co/DaY1c0tT5Z'
74,"b'RT @AyamLachini: El amor, lo bueno en general, no se debe dejar nunca para ma\xc3\xb1ana, si hay algo que la vida nos ense\xc3\xb1a con el paso del tiemp\xe2\x80\xa6'"
75,b'Tampoco le agarr\xc3\xa9 amor a la guerrilla y su estilo de vida como estipulaban con el bombardeo liteterario que nos car\xe2\x80\xa6 https://t.co/VpNb4JZUSe'
76,"b'@SevillaFC @suso30oficial Sorprende tanto resentimiento, en vez de felicidad, de los aficionados del Mil\xc3\xa1n si tan m\xe2\x80\xa6 https://t.co/MaIX4XB5Bn'"
77,"b'@Veni_pegate18 Ya venite amor, solo tenes que agarrar tu pasaporte y su maleta y listo, hasta de gratis te trae el\xe2\x80\xa6 https://t.co/O1BFEmG0ym'"
78,"b'RT @PaooR13: El amor, indiscutiblemente, es para valientes \xe2\x9c\xa8'"
79,b'Las amiguitas de mi hermana vinieron a traerle una merienda de salado y dulce por el d\xc3\xada del amigo\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\x98\xbb\xf0\x9f\x98\xbb\xf0\x9f\x98\xbb mor\xc3\xad de amor'
80,"b'RT @LaMenesesK1: Colombia Patria M\xc3\xada, Te Llevo Con Amor En Mi Coraz\xc3\xb3n!! Creo En T\xc3\xba Destino Y Esper\xc3\xb3 Verte Siempre Grande, Respetada Y Libre\xe2\x80\xa6'"
81,b'Btw ayer me vi la pel\xc3\xadcula de amor m\xc3\xa1s pechocha que he vistooooo jueputa v\xc3\xa9anse propuesta de a\xc3\xb1o bisiesto YA'
82,"b'@AlejandroAbie antes de ser novios fuimos amigos, pero nunca dejaste de ser mi mejor amigo. te amo mi amor :) hagam\xe2\x80\xa6 https://t.co/unstH074aK'"
83,"b'RT @IvanDuque: Hoy exaltamos la dedicaci\xc3\xb3n de integrantes de la Fuerza P\xc3\xbablica que, adem\xc3\xa1s de velar por la seguridad y la integridad de los\xe2\x80\xa6'"
84,"b'RT @maluch126p: #CubaEduca a sus ni\xc3\xb1os en un ambiente de tranquilidad, alegr\xc3\xada y amor. #SomosCuba #SomosContinuidad https://t.co/kVpqxIViwP'"
85,b'RT @adkinsparce: Fiel creyente de que el amor por el pa\xc3\xads de uno no le tiene por que impedir criticar las cosas que obviamente est\xc3\xa1n mal. N\xe2\x80\xa6'
86,"b'RT @fuaasandra: F\xc3\xadsicamente no soy un buen partido, pero risas y amor no te van a faltar.'"
87,"b'@hxneyfx Podemos ir al fin del mundo juntas si lo deseas, mi amor.\nLa respuesta es muy obvia.'"
